,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,semi_final,semi_draw_position,final_draw_position,country,language,style,direct_qualifier_10,gender,main_singers,age,selection,key_change_10,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified_10,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,race,host_10
68,Breathe,Yeat,0.771,0.541,11,-13.0,1,0.0612,0.0275,0.881,0.105,0.106,118.064,2022,2,15,-,Montenegro,"English, Italian",Ballad,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,17.0,22.0,11.0,33.0,0,unknown,0
69,Miss You,Various Artists,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,2022,2,16,16,Belgium,English,Pop,0,Male,1,unknown,unknown,unknown,4,0,0,0,1,5.0,59.0,2.0,13.0,19.0,64.0,8.0,46.0,105.0,151.0,0,unknown,0
70,Hold Me Closer,"Elton John, Britney Spears",0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,2022,2,17,20,Sweden,English,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,180.0,258.0,33.0,33.0,4.0,438.0,1.0,174.0,222.0,396.0,0,unknown,0
71,Lights Off,Bandiicam,0.486,0.812,2,-9.59,0,0.523,0.0504,0.0,0.221,0.788,141.544,2022,2,18,1,Czech Republic,English,Dance,0,Female,1,unknown,unknown,unknown,0,0,2,0,1,5.0,33.0,1.0,11.0,22.0,38.0,4.0,125.0,102.0,227.0,0,unknown,0
72,Brividi,"Mahmood, BLANCO",0.523,0.614,7,-4.435,1,0.0347,0.448,0.0,0.254,0.342,122.962,2022,-,-,9,Italy,Italian,Ballad,1,Male,2,unknown,unknown,unknown,0,0,1,0,-,110.0,158.0,23.0,26.0,6.0,268.0,,,,,0,unknown,1
73,SloMo,Chanel,0.756,0.698,6,-6.846,0,0.112,0.0682,0.00595,0.0536,0.618,104.985,2022,-,-,10,Spain,"Spanish, English",Pop,1,Female,1,unknown,unknown,unknown,5,0,0,0,-,228.0,231.0,38.0,34.0,3.0,459.0,,,,,0,unknown,0
74,Rockstars,Nickelback,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,2022,-,-,13,Germany,English,Ballad,1,Male,1,unknown,unknown,unknown,0,0,0,1,-,6.0,0.0,3.0,0.0,25.0,6.0,,,,,0,unknown,0
75,Space Man,Kidz Bop Kids,0.333,0.644,11,-5.848,1,0.0646,0.00712,1.84e-06,0.0674,0.273,80.143,2022,-,-,22,United Kingdom,English,Pop,1,Male,1,unknown,unknown,unknown,0,0,2,1,-,183.0,283.0,34.0,35.0,2.0,466.0,,,,,0,unknown,0
76,Fulenn,Alvan,0.742,0.837,6,-7.44,1,0.116,0.0127,3.41e-06,0.242,0.48,120.036,2022,-,-,6,France,Breton,Traditional,1,Mix,4,unknown,unknown,unknown,1,0,0,1,-,8.0,9.0,6.0,3.0,24.0,17.0,,,,,0,unknown,0
77,Discoteque,The King Of Beats,0.803,0.626,7,-9.556,1,0.128,0.356,0.938,0.11,0.97,130.988,2021,1,1,18,Lithuania,English,Dance,0,Male,1,unknown,unknown,unknown,2,2,2,0,1,165.0,55.0,27.0,12.0,8.0,220.0,4.0,137.0,66.0,203.0,0,unknown,0
78,Amen,for KING & COUNTRY,0.64,0.469,7,-8.718,1,0.0412,0.00758,0.000453,0.0711,0.305,90.001,2021,1,2,-,Slovenia,English,Ballad,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,13.0,8.0,36.0,44.0,0,unknown,0
79,Russian Woman,Manizha,0.89,0.701,4,-7.061,0,0.194,0.204,0.0,0.0741,0.652,102.001,2021,1,3,5,Russia,"Russian, English",Traditional,0,Female,1,unknown,unknown,unknown,0,4,0,0,1,100.0,104.0,22.0,21.0,9.0,204.0,3.0,108.0,117.0,225.0,0,unknown,0
80,Voices,Falling In Reverse,0.546,0.898,2,-3.067,0,0.162,0.0266,0.0,0.129,0.639,173.17,2021,1,4,25,Sweden,English,Pop,0,Male,1,unknown,unknown,unknown,4,0,0,0,1,63.0,46.0,18.0,10.0,14.0,109.0,7.0,51.0,91.0,142.0,0,unknown,0
81,Technicolour,Oh Wonder,0.597,0.363,5,-10.365,0,0.0314,0.626,2.96e-05,0.0848,0.0785,130.022,2021,1,5,-,Australia,English,Pop,-,Female,1,unknown,unknown,unknown,3,0,0,0,0,,,,,,,14.0,2.0,26.0,28.0,0,unknown,0
82,Here I Stand,USHER,0.535,0.528,5,-5.763,1,0.0461,0.322,0.0,0.24,0.261,119.796,2021,1,6,-,North Macedonia,English,Ballad,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,15.0,11.0,12.0,23.0,0,unknown,0
83,Maps,Maroon 5,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032,2021,1,7,-,Ireland,English,Pop,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,16.0,4.0,16.0,20.0,0,unknown,0
