song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country,language,style,gender,main_singers,backing_dancers,backing_singers,backing_instruments,semi_place,eng_lan,inc_eng_lan,Male,Female,Pop,Rock,Ballad,Traditional,Dance,is_final
Keep on Going,Fleetwood Mac,0.598,0.496,1,-15.915,0,0.0308,0.308,0.00119,0.0655,0.916,106.631,2019,Georgia,Georgian,Traditional,Male,1,0,5,0,14.0,0,0,1,0,0,0,0,1,0,0
Zero Gravity,"Rippling, CONNXCT, William Cas",0.191,0.0629,4,-24.437,0,0.0462,0.947,0.877,0.101,0.0547,219.483,2019,Australia,English,Opera,Female,1,2,0,0,1.0,1,0,0,1,0,0,0,0,0,1
Hatrio mun sigra,Various Artists,0.569,0.672,4,-9.721,0,0.0756,0.000804,1.46e-05,0.0902,0.483,109.925,2019,Iceland,Icelandic,Dance,Mix,2,4,0,0,3.0,0,0,0,0,0,0,0,0,1,1
Storm,"Jorge Rivera-Herrans, Cast of EPIC: The Musical",0.277,0.657,6,-6.687,0,0.0626,0.234,0.0,0.106,0.324,165.02,2019,Estonia,English,Pop,Male,1,0,0,0,4.0,1,0,1,0,1,0,0,0,0,1
TelemOveis,CONAN OSIRIS,0.714,0.365,7,-11.524,1,0.055,0.622,0.0319,0.0803,0.239,123.086,2019,Portugal,Portuguese,Traditional,Male,1,1,0,0,15.0,0,0,1,0,0,0,0,1,0,0
Better Love,Hozier,0.389,0.802,0,-3.438,1,0.0616,0.0307,2.63e-06,0.0862,0.4,126.748,2019,Greece,English,Pop,Female,1,2,3,0,5.0,1,0,0,1,1,0,0,0,0,1
Say Na Na Na,Serhat,0.676,0.922,1,-4.754,0,0.0763,0.000571,0.000153,0.361,0.742,118.032,2019,San Marino,English,Dance,Male,1,0,5,0,8.0,1,0,1,0,0,0,0,0,1,1
Walking Out,The Nerves,0.291,0.913,9,-6.368,1,0.0583,0.113,0.00221,0.341,0.683,173.387,2019,Armenia,English,Pop,Female,1,0,0,0,16.0,1,0,0,1,1,0,0,0,0,0
22,Taylor Swift,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,2019,Ireland,English,Pop,Female,1,2,0,0,18.0,1,0,0,1,1,0,0,0,0,0
Stay,Various Artists,0.382,0.836,9,-5.661,0,0.403,0.0725,0.0,0.23,0.444,201.776,2019,Moldova,English,Ballad,Female,1,1,0,0,12.0,1,0,0,1,0,0,1,0,0,0
